Note: Component loadings for Components 1 and 2 after varimax rotation,,
Gene,Component 1,Component 2
PNOC,0.486,-0.326
SCFD2,0.252,-0.353
DMBT1,-0.218,0.074
SEC31B,-0.8,0.068
SEC31A,-0.548,0.068
ZNRF4,0.723,-0.18
POSTN,-0.621,0.698
ZNRF1,0.514,-0.25
ZNRF2,0.185,0.061
HTRA2,-0.233,-0.808
HTRA1,0.209,-0.348
GXYLT2,0.174,-0.651
CLNS1A,-0.074,-0.661
F12,0.586,-0.68
POLH,-0.52,0.03
C4orf8,-0.702,-0.137
C4orf3,-0.864,-0.02
GCC2,-0.861,0.235
VSIG2,-0.255,0.316
MAD2L1,-0.638,0.129
MAD2L2,-0.088,-0.852
VSIG4,0.481,-0.55
ELL,-0.826,-0.078
TAGLN2,0.216,-0.405
UHMK1,0.519,-0.6
SSX2B,0.385,0.067
C14orf102,-0.392,0.611
C14orf104,-0.786,0.358
EMB,-0.623,0.327
C14orf106,-0.84,0.036
POLS,-0.668,0.225
FAXC,-0.682,0.25
ATP13A3,-0.676,0.579
POMP,-0.161,-0.465
PON2,0.456,-0.643
ENG,-0.283,-0.063
PON3,0.37,-0.687
MTFR1,-0.783,0.036
FLJ45248,0.305,-0.546
FAR2,-0.489,0.524
C14orf129,-0.161,-0.857
POGZ,-0.583,0.284
POGK,-0.806,-0.15
IL20RA,-0.156,-0.303
C14orf138,-0.887,-0.172
C14orf132,-0.068,-0.523
EHF,-0.39,-0.024
GCH1,0.587,-0.091
PLCL1,-0.813,0.133
FAT3,-0.462,0.472
FAT4,-0.053,-0.29
FAT2,-0.108,-0.118
SPATA1,0.272,-0.529
SPATA4,0.134,-0.612
C14orf147,0.009,-0.35
SERGEF,-0.772,-0.212
CSNK2A1P,0.001,-0.336
HYDIN,-0.511,-0.39
C14orf153,-0.309,-0.825
61E3.4,-0.381,0.491
C14orf156,0.588,-0.224
C13orf18,0.419,-0.474
ANKRD30BP2,-0.381,-0.763
GRPEL2,-0.899,0.204
KIAA0748,-0.169,0.337
C13orf16,-0.623,-0.228
TSSC1,-0.377,-0.827
CASP8AP2,-0.917,0.116
C13orf23,-0.874,-0.22
UCMA,0.309,0.178
C13orf27,-0.237,-0.475
SPOCD1,-0.505,0.19
NR0B1,0.448,-0.703
PLCE1,-0.212,-0.71
LYST,-0.881,0.006
C13orf33,0.345,-0.112
GCLM,-0.705,-0.535
GCKR,-0.409,0.558
PLCH2,0.726,0.099
PLCH1,0.118,-0.589
SYCE1,-0.663,-0.622
LEPRE1,-0.434,0.42
UCP3,-0.122,0.699
PLCG1,-0.583,0.136
HEATR3,-0.758,-0.075
HEATR4,-0.553,-0.08
PLCG2,0.145,-0.703
IL3RA,0.537,-0.373
TACR2,0.651,-0.324
ESD,-0.344,-0.865
ACVR1C,-0.842,0.348
PLCB4,-0.62,0.572
NECAP2,0.422,-0.146
PLCB1,-0.59,0.651
PLCB2,0.67,-0.546
MOSC1,0.811,0.031
ACVR2A,0.672,-0.291
IFNAR2,-0.826,-0.211
ACVR2B,-0.112,-0.838
SBF1,0.099,-0.746
SBF2,0.247,-0.553
TNNI3K,-0.508,0.395
AC183087.2,-0.068,-0.808
SPOCK2,-0.64,0.14
MGMT,0.564,-0.551
GON4L,-0.841,-0.309
PLCD3,0.431,-0.303
PLCD4,-0.837,0.213
ERG,-0.413,0.135
ADNP2,-0.379,0.537
F2R,0.461,-0.499
RETSAT,-0.289,-0.675
POTEKP,-0.007,-0.771
ZNF782,-0.599,0.497
OGN,0.404,-0.121
ZNF774,-0.438,0.509
ZNF790,0.367,0.005
ZNF791,-0.702,0.333
ZNF792,-0.183,0.79
ZNF786,-0.824,-0.145
ZNF785,-0.268,0.552
RP5-1182A14.1,-0.676,-0.201
ZNF799,-0.666,-0.077
ESRRA,-0.885,0.257
ESRRB,0.136,0.536
PAIP1,-0.471,0.577
L3MBTL,0.216,-0.566
ESRRG,-0.571,0.751
UBE2L6,-0.165,-0.883
LOC256374,-0.831,0.318
EIF4E1B,-0.807,0.11
RP11-78J21.3,-0.781,-0.146
KIAA1377,-0.395,-0.736
KIAA1370,-0.942,-0.015
GLCCI1,-0.83,0.463
MYRIP,0.365,-0.649
EIF4A2,-0.764,0.419
THEM4,-0.723,0.103
THEM5,0.689,-0.205
ZNF740,-0.482,0.465
LOC645955,0.488,-0.34
NNAT,0.539,-0.669
MTMR2,-0.669,-0.187
MTMR1,-0.6,-0.319
LYPLAL1,0.137,-0.583
MTMR4,-0.29,0.645
LOC645944,-0.797,-0.232
IGF1,-0.076,-0.639
LOC100128922,0.044,0.324
CSAG2,-0.452,-0.4
PSAT1,0.181,-0.653
MEGF6,-0.26,0.269
CSAG1,-0.311,-0.112
ZNF767,-0.773,0.147
ZNF768,-0.203,0.493
NCBP2,-0.429,-0.713
ATOX1,0.399,-0.748
KIAA1324,-0.098,0.25
KIAA1328,0.169,-0.68
EIF4EBP1,0.384,-0.728
CDKN2A,-0.736,0.102
MDFIC,0.413,-0.629
CDKN2C,-0.741,-0.284
CDKN2D,-0.079,-0.92
FBXO27,0.296,-0.132
FBXO28,-0.815,-0.137
LOC646548,-0.151,0.637
EIF3S8,-0.404,-0.73
FBXO21,-0.801,0.056
PPDPF,0.78,0.013
FBXO16,-0.745,-0.154
ATP9A,0.638,0.151
FBXO18,-0.159,0.61
EDF1,0.293,-0.58
FBXO15,-0.213,-0.786
MAMDC4,-0.496,0.126
ADAMTSL1,0.228,0.532
ADAMTSL2,0.415,-0.356
FBXO40,-0.193,-0.147
MAMDC2,-0.651,0.49
ADAMTSL3,0.388,-0.625
SETD1B,-0.437,0.069
SETD1A,-0.453,-0.026
KIAA1305,0.252,-0.414
FBXO42,-0.736,-0.003
FBXO48,-0.553,-0.224
FBXO46,-0.798,0.035
RP11-2F9.2,-0.432,0.594
MMAA,0.375,-0.574
ATP7A,-0.023,-0.177
NMT2,-0.588,-0.372
PDZD7,-0.681,-0.098
PDZD8,-0.613,0.449
CDKN1B,-0.694,0.521
FBXO32,-0.868,0.269
FBXO33,-0.884,0.153
PDZD2,-0.18,-0.523
L1TD1,0.191,0.187
PIWIL4,-0.646,-0.572
INO80E,0.246,0.298
INO80B,0.378,-0.496
TMEM38A,-0.191,0.671
STXBP1,-0.056,0.729
STXBP3,-0.351,-0.619
LOC200726,-0.267,0.815
STXBP6,-0.256,-0.524
TNFSF13B,-0.342,-0.215
STXBP5,0.385,0.217
SNX10,0.536,-0.287
OAF,0.291,-0.754
APLNR,0.396,-0.557
CALML4,-0.608,-0.097
CALML3,-0.331,0.515
FIGN,-0.287,0.517
SNX21,-0.805,-0.118
CALML6,0.073,0.601
SNX24,-0.561,-0.483
GSTA1,-0.08,0.419
SECTM1,-0.112,0.225
GSTA3,-0.187,0.43
SNX27,-0.812,-0.481
SNX26,0.53,-0.608
SNX25,-0.591,-0.417
FIG4,-0.221,-0.618
HIF3A,0.241,-0.683
SNX32,-0.189,-0.759
EDN3,-0.278,0.413
EDN1,0.11,-0.413
FP588,0.003,0.36
C4orf21,0.032,0.126
CYHR1,0.248,-0.639
FIZ1,-0.064,0.555
C4orf22,-0.341,0.498
FHAD1,-0.306,-0.147
RPUSD2,-0.828,-0.105
KIAA0284,0.706,-0.192
DCTN6,-0.528,-0.737
DCTN3,0.12,-0.771
ALDOC,-0.414,-0.281
ALDOB,0.399,-0.361
PLAGL1,-0.372,0.768
FAM65B,0.702,-0.669
C4orf45,0.648,-0.29
C4orf49,-0.694,0.407
PLAGL2,-0.748,0.159
TMEM39A,-0.765,-0.081
C4orf33,-0.712,0.459
C4orf32,0.541,-0.461
C4orf36,0.404,-0.037
NNMT,-0.365,0.346
ZMAT1,0.401,-0.608
NDUFS5P7,-0.203,-0.597
ATP5E,-0.515,-0.482
PXDN,-0.558,-0.017
COX11,-0.425,-0.76
COX10,-0.671,0.066
ZMAT4,-0.736,0.566
MCF2L,-0.813,0.435
SENP7,-0.776,0.202
PTGES,0.47,-0.151
MMD2,0.592,-0.608
ATP5I,0.545,-0.486
COX17,-0.638,0.158
COX16,-0.369,-0.745
ATP4A,-0.572,0.576
LIN52,-0.092,0.174
LOC646627,0.747,-0.464
LENG4,0.325,-0.665
SLC26A4,0.386,-0.773
SLC26A6,-0.715,0.136
SENP1,-0.633,0.244
SLC26A8,-0.067,-0.606
INTS4L1,-0.455,0.73
INTS4L2,-0.362,0.737
FAM69B,0.138,-0.123
DLX6-AS1,-0.251,-0.585
STT3B,0.5,0.143
BCL11B,0.259,-0.33
BCL11A,-0.362,0.565
AC138028.2,-0.346,0.381
PCTK2,0.301,-0.209
CYP4F12,0.384,-0.337
PTGFR,0.309,-0.336
LIN37,0.108,-0.263
UBXN8,-0.07,-0.811
LOC644397,-0.014,-0.403
MRPS36,-0.673,0.041
MRPS33,0.559,-0.408
ZNF823,-0.648,-0.033
ZNF821,-0.242,0.392
MMP9,-0.273,0.018
ZNF827,0.355,-0.269
MMP3,-0.08,0.496
COX5B,0.145,0.236
MRPS30,-0.644,0.464
MMP1,0.634,0.209
EIF3CL,-0.414,-0.69
PTGIS,-0.347,0.477
ATOH7,0.701,-0.603
INADL,-0.769,0.135
CHPT1,0.441,0.111
C8ORF51,0.444,-0.263
CEP97,-0.863,-0.133
MRPS16,0.694,-0.16
MRPS15,-0.359,-0.745
CEP95,-0.652,0.481
NEDD9,-0.803,-0.232
NEDD8,-0.167,-0.811
UBE2D4,-0.733,-0.409
UBE2D2,0.06,-0.884
UBE2D1,-0.573,0.524
SETDB1,-0.9,-0.277
ZNF831,0.249,-0.873
MRPS26,-0.434,0.427
CARD8,-0.533,0.026
CARD9,-0.479,0.511
COX8C,-0.039,-0.12
ZNF830,-0.716,-0.021
MRPS25,0.289,-0.749
LIN7A,-0.444,0.487
NEDD4,0.071,-0.729
ALDH2,0.217,-0.725
RRS1,-0.689,0.117
ARHGAP10,-0.267,0.556
ARHGAP19,-0.216,-0.485
ARHGAP18,0.227,-0.754
ARHGAP15,0.21,-0.461
ARHGAP12,0.245,-0.718
TP53I3,0.318,-0.679
ARHGAP20,0.254,-0.423
LAIR2,0.216,0.001
DMRT3,-0.18,0.307
ARHGAP28,0.661,-0.503
DMRT2,-0.266,0.045
ARHGAP29,-0.375,0.003
ARHGAP23,0.417,-0.313
ARHGAP26,-0.518,0.579
ARHGAP25,0.03,-0.274
APITD1,0.134,-0.496
KIAA0240,-0.828,0.397
MUM1L1,0.479,-0.529
CEP57,-0.666,0.39
TMBIM1,-0.131,-0.408
MGC23284,0.648,-0.257
NRN1L,0.525,0.035
COMTD1,0.425,-0.403
PTGS2,-0.18,0.635
LTBP4,0.857,-0.094
PGC,-0.71,0.416
PTGS1,-0.814,-0.039
KIAA1274,0.128,-0.555
CTNNB1,-0.498,0.177
GNG8,0.316,-0.567
PGR,0.066,0.324
PGP,-0.638,0.11
KIAA1267,-0.877,-0.002
NAA11,0.475,-0.189
NAA10,0.429,-0.611
CH25H,-0.538,-0.743
GNG2,0.685,-0.622
GNG4,0.529,-0.736
MTERFD3,-0.695,-0.259
KRR1,-0.84,0.006
TYRO3,0.435,-0.485
MDH1B,0.139,0.706
CTNNA1,-0.551,0.426
KIAA1257,-0.301,0.045
HLA-DPA1,-0.576,-0.687
C18orf25,-0.743,0.492
RHPN2,0.256,-0.665
PTH1R,-0.719,0.08
RUNDC3B,-0.937,-0.072
RUNDC3A,0.073,-0.853
LOC284861,0.754,0.036
ATP6V0C,0.626,0.034
RILPL1,0.012,-0.789
RILPL2,0.501,-0.772
PIR,0.53,-0.034
HLA-DPB1,-0.647,-0.553
HLA-DPB2,-0.213,-0.612
PTGR2,0.206,-0.702
PTH2R,-0.612,-0.181
C18orf10,0.106,-0.306
PHB,-0.491,-0.783
BCORP1,0.064,-0.134
C9orf9,0.309,-0.805
C9orf3,-0.811,0.105
FCGBP,0.841,-0.172
GPR83,-0.075,-0.578
SH3RF1,0.454,-0.738
LIMA1,0.117,-0.465
GPR85,-0.811,0.238
LTC4S,0.578,-0.357
PLEKHG4B,0.484,-0.317
GPR88,0.416,-0.753
NOD2,-0.075,0.63
NOD1,0.222,-0.38
HSF1,0.364,0.073
SMPDL3B,0.732,0.176
ZNF879,-0.331,0.242
HSF4,-0.803,-0.072
GPR98,0.488,-0.681
SRPK1,-0.834,0.424
AC011427.1,0.551,-0.527
GNAL,0.199,-0.125
ZNF883,0.188,-0.443
GNB2,0.176,-0.873
KIAA1219,-0.852,-0.139
GNB5,-0.849,-0.198
GNAS,-0.464,0.357
GNB4,0.665,-0.602
GNB3,-0.795,-0.08
EIF5A2,-0.651,0.66
NOB1,-0.587,0.409
FHL2,-0.589,0.011
GPR68,0.396,-0.596
APBB1IP,0.275,-0.781
MYCBP2,-0.382,0.045
NPDC1,0.37,-0.467
MYSM1,-0.786,-0.1
KIAA1244,0.239,-0.903
CAPN8,0.357,-0.318
CAPN9,-0.35,-0.362
MXRA7,-0.071,0.044
TMPRSS8,-0.534,-0.282
MXRA8,0.643,-0.158
TMPRSS5,0.368,-0.301
TMPRSS3,0.475,-0.168
MXRA5,0.265,0.332
CAPN1,-0.515,-0.302
DOT1L,-0.278,0.546
PLN,-0.01,-0.266
MCFD2,-0.227,-0.863
SH3RF2,-0.669,0.504
KIAA1239,0.654,-0.316
IQGAP2,0.16,-0.733
DAB1,0.6,-0.399
TMEM204,-0.806,0.059
NCALD,-0.23,0.607
C1ORF213,-0.025,-0.093
MND1,0.294,-0.626
TMEM208,0.557,-0.587
NCAM2,0.302,-0.728
CD99P1,0.63,-0.328
GPR56,0.499,-0.683
MNDA,0.412,-0.563
SLC40A1,0.387,-0.338
CIDECP,-0.471,-0.494
CAMTA1,-0.918,-0.05
PAM,-0.772,-0.071
CAMTA2,-0.71,0.454
C8orf30B,0.8,-0.149
TMEM215,0.332,0.296
TMEM217,0.224,-0.352
TMEM218,-0.106,-0.632
NKAIN2,0.586,-0.743
TMEM219,0.14,-0.875
PAH,0.214,-0.128
NKAIN4,0.778,-0.557
NKAIN3,0.663,-0.559
CAPS2,-0.871,-0.148
GPR22,-0.435,-0.164
ECE2,0.395,-0.212
GPR21,-0.545,0.353
GPR26,0.22,0.238
KIAA1211,0.332,-0.237
B4GALT6,-0.887,-0.032
ANKDD1A,-0.142,-0.809
KRI1,-0.305,0.334
GPR20,0.036,0.089
B4GALT5,-0.016,-0.758
TMEM223,-0.173,0.452
FAM160A2,-0.13,-0.815
B4GALT3,-0.173,-0.743
B4GALT2,0.49,-0.616
IREB2,-0.286,0.59
SUV39H2,-0.281,0.414
GPR34,0.041,-0.764
CDC42SE2,0.078,-0.793
GPR39,0.525,-0.247
TMEM220,0.2,-0.635
CEND1,-0.737,-0.031
PRDX4,0.226,-0.823
TMEM238,0.746,-0.385
PRDX1,0.248,-0.648
C18orf42,-0.409,0.239
C18orf45,-0.736,0.116
HSN2,-0.69,0.319
METTL8,-0.313,-0.758
METTL5,0.04,-0.84
LIMK2,-0.267,-0.412
GPR19,-0.836,-0.079
LIMK1,0.212,0.314
CAPSL,0.657,-0.523
METTL6,0.263,-0.765
ATP6V1H,-0.323,-0.855
CHRM4,0.142,-0.279
CHRM3,0.108,-0.244
CHRM2,-0.201,0.796
PRDX6,0.338,-0.452
CD99L2,-0.309,0.668
C18orf34,0.425,-0.111
KIR3DP1,0.038,0.201
ADAMTS17,-0.351,0.682
TYRP1,0.246,0.024
ADAMTS19,0.544,-0.461
ADAMTS13,-0.508,0.482
ADAMTS16,0.31,-0.248
KITLG,-0.617,0.009
OXTR,0.404,-0.605
IVNS1ABP,-0.726,0.29
AC090360.1,-0.093,0.672
DAD1,-0.213,-0.78
LOC644563,-0.265,-0.886
C18orf51,-0.075,-0.262
IFT172,-0.81,0.1
PDC,-0.734,0.327
FLJ38723,-0.544,-0.401
MOCOS,0.786,0.243
C6ORF141,0.118,-0.594
S100A3,-0.288,0.119
S100A6,0.219,-0.156
LEMD3,-0.631,0.462
LEMD1,0.444,0.226
COL4A3BP,-0.607,-0.661
CHRNA4,0.618,-0.147
CHRNA7,-0.009,-0.578
CHRNA6,0.12,-0.151
FAM53B,-0.649,-0.135
CHRNA3,0.338,-0.108
S100A1,0.691,-0.11
CHRNA2,0.281,0.644
OXR1,-0.758,-0.233
MDGA1,0.569,-0.696
STRN4,-0.218,-0.503
MDGA2,-0.733,-0.041
KIAA0141,-0.708,0.278
GSTT1,-0.179,0.53
GSTT2,-0.843,-0.364
PRELP,-0.251,-0.771
DCLRE1A,-0.901,0.011
DCLRE1B,0.057,-0.475
NOP2,-0.871,-0.27
RFESD,-0.298,0.175
CA5B,-0.334,-0.329
FCGRT,0.279,-0.595
CAPZB,0.644,-0.429
PXN,-0.19,0.156
KIAA0146,-0.68,-0.148
NOM1,-0.875,-0.344
MOCS3,-0.023,0.416
MOCS2,0.257,-0.567
ECM1,-0.722,0.466
CHRNB3,0.533,-0.175
QPRT,0.364,-0.49
CHRNB1,0.392,-0.377
PDZK1,-0.54,0.069
SLC16A14,-0.336,-0.184
SUSD1,0.668,-0.594
UVRAG,-0.72,0.246
ZBBX,-0.41,-0.052
FAM57B,-0.621,0.366
ASGR1,0.066,0.556
AC136443.1,-0.305,0.43
ASGR2,-0.024,-0.221
ASH2L,-0.159,-0.853
AC004381.2,0.284,-0.299
NOS2,-0.31,0.214
TOMM34,0.211,-0.182
KIAA0182,-0.775,0.221
GMPR,-0.565,0.004
GMPS,-0.676,-0.169
FOXD4L3,0.137,-0.174
ASH1L,-0.808,0.108
SUSD5,-0.289,0.498
SLC27A6,0.481,-0.15
SUSD4,-0.418,-0.496
SUSD3,0.464,-0.564
MOSPD1,-0.792,-0.052
SLC27A3,0.18,-0.596
SLC27A2,0.04,-0.853
SLC27A5,0.436,-0.728
BCAT1,-0.63,0.399
KIAA0195,-0.229,-0.769
CA13,-0.556,0.351
FAM59B,0.338,-0.593
FAM59A,-0.559,-0.468
MNF1,0.475,-0.594
PREPL,-0.594,0.515
PLGLB2,-0.617,0.097
PLGLB1,-0.719,-0.265
BCAS4,-0.72,0.117
IL18R1,0.323,0.046
GMNN,-0.543,-0.383
SETBP1,-0.598,0.613
MAPK11,0.794,-0.165
FAM58A,-0.295,-0.815
MAPK13,0.24,-0.339
PYGL,0.192,-0.927
PHF21B,0.177,0.433
C20orf96,0.111,0.662
FLJ40712,0.241,-0.544
LUC7L,-0.25,0.582
BCAR3,-0.419,-0.635
TUSC2,0.072,-0.598
TUSC1,-0.27,-0.604
TUSC3,0.182,-0.752
GSTM5,-0.162,-0.85
GSTM1,0.483,-0.32
GSTM2,0.39,-0.773
GLT8D2,0.173,-0.821
GSTM3,0.082,-0.681
CISD2,-0.508,0.529
CISD3,0.025,-0.685
CA10,0.417,-0.635
CA12,0.398,0.237
BCL2A1,0.303,-0.645
CA11,-0.019,-0.886
POR,0.608,-0.265
PTHLH,0.699,-0.475
DARC,-0.457,-0.555
PI4K2A,-0.531,0.162
SLC38A1,-0.912,0.181
SLC38A5,-0.367,0.158
TSHZ3,-0.302,0.392
EIF4E3,-0.879,0.075
TSHZ2,0.15,-0.499
TSHZ1,-0.529,0.589
SLC38A2,-0.943,0.092
SLC38A9,-0.909,-0.028
STRAP,-0.127,-0.872
GMIP,0.77,-0.227
GSTK1,-0.848,-0.018
PPL,-0.526,0.542
MNS1,-0.735,0.099
STRBP,-0.64,0.615
TOMM40,-0.715,-0.255
DAP3,-0.576,-0.625
TTLL11,-0.289,0.643
NFATC2IP,-0.704,0.114
ACYP2,-0.884,-0.088
CNTNAP3,0.512,-0.578
CNTNAP2,-0.372,-0.072
CNTNAP1,-0.341,0.69
NOL4,0.436,-0.683
NOL3,-0.325,-0.737
NOL9,-0.273,-0.787
CNTNAP5,-0.641,0.341
EIF4G1,-0.296,-0.848
KIAA0100,-0.346,-0.771
KIAA1199,-0.558,0.596
PSD,0.418,-0.428
KIAA1191,-0.338,-0.817
CTNND2,0.292,-0.66
KIAA0101,-0.072,-0.58
KRT5,0.145,-0.031
GP1BB,0.81,-0.068
KRT7,0.074,-0.193
CENPB,0.127,-0.207
KRT1,0.575,-0.351
PTN,0.598,-0.409
KRT3,-0.082,0.361
GSTO2,-0.291,-0.813
SUCNR1,0.703,0.037
PTS,-0.013,-0.901
CENPN,-0.593,-0.35
CENPF,0.336,-0.499
CENPE,-0.208,-0.754
CENPJ,-0.84,0.213
GMFB,0.582,-0.741
GMFG,0.001,-0.932
ANXA11,0.489,-0.549
KLRC4,0.759,-0.041
HRAS,-0.151,-0.917
KLRC2,0.775,0.046
KLRC3,-0.086,-0.817
KIAA1128,0.037,-0.703
NEAT1,-0.761,0.202
LOC389842,-0.716,-0.026
OR8S1,-0.527,0.219
RUNDC1,-0.497,-0.521
AQP11,0.163,-0.286
VWA5A,0.208,-0.755
ZNF507,-0.616,0.181
OLFML2B,0.752,0.028
ZNF502,-0.691,0.066
OLFML2A,-0.561,0.366
ZNF503,-0.261,-0.008
NCAPD2,-0.011,0.522
ZNF500,0.161,0.575
SSTR5,0.217,-0.401
SSTR2,0.463,-0.732
NPC2,0.18,-0.525
SSTR1,0.756,-0.555
BACE2,0.288,0.584
KIAA1107,-0.81,0.414
HSPBAP1,-0.927,-0.01
ZNF516,-0.232,-0.835
PLCXD3,0.022,-0.202
ACSBG2,-0.267,0.703
ZNF510,-0.654,0.224
ZNF512,-0.376,0.406
ACSBG1,0.462,-0.498
AHNAK2,0.16,-0.171
FGL2,0.147,-0.538
FGL1,0.019,-0.49
SSSCA1,0.588,-0.623
ZNF528,-0.463,-0.787
VWA3A,-0.366,-0.136
AC015871.2,0.503,-0.055
ZNF521,0.4,-0.25
C21ORF119,-0.5,-0.756
ZNF526,-0.442,0.208
PLCXD1,-0.466,0.527
BACH1,-0.41,0.539
ZAR1,-0.489,0.413
FGF5,-0.3,0.748
BACH2,-0.617,0.28
ZNF534,-0.159,0.219
FGF9,-0.77,0.509
CUZD1,-0.318,0.242
AC093734.11,-0.137,-0.821
CEACAM19,-0.385,0.368
FGF2,0.245,-0.65
ZNF546,-0.859,0.021
ZNF547,-0.352,0.477
ZNF541,-0.265,0.175
ZNF544,0.559,-0.332
CENPVL1,0.273,-0.879
KSR2,-0.831,0.154
LOC653602,-0.216,-0.312
OSBPL10,-0.197,0.224
ZNF555,-0.17,0.829
ZNF557,0.068,0.704
FGGY,0.557,-0.706
KIAA1147,-0.107,-0.654
FBXL19-AS1,0.067,-0.166
EPPK1,0.086,-0.362
ZNF567,-0.592,0.398
QPCT,-0.675,0.054
KIAA1143,-0.797,-0.2
ZNF572,0.578,-0.395
SRP14,0.175,-0.433
DBF4,-0.323,0.404
AC092143.3,-0.67,0.141
MOBKL2B,0.026,0.145
MOBKL2A,0.439,-0.252
GHITM,-0.713,-0.374
ZNF576,-0.498,-0.253
ZNF577,-0.435,-0.699
POU2AF1,-0.409,-0.356
CHODL,0.687,-0.355
PNPLA2,-0.354,-0.256
PNPLA4,0.26,-0.867
PNPLA3,0.152,-0.776
PNPLA5,-0.565,-0.046
ZNF586,0.039,0.774
HDLBP,0.122,-0.604
C20orf27,0.277,-0.806
C20orf26,0.464,-0.335
FHDC1,-0.544,0.668
C20orf20,-0.294,0.661
MEIS1,-0.138,-0.185
AC019171.4,-0.188,0.319
MEIS2,-0.165,-0.049
OSBPL1A,-0.605,0.627
GRID2IP,0.025,0.709
AC007276.5,-0.153,0.5
ZNF599,-0.344,0.171
PALB2,-0.882,-0.312
FGD5,-0.347,0.429
GABRQ,0.64,-0.291
FGD3,0.488,-0.43
GABRD,-0.489,0.65
TMEM59L,0.233,-0.737
GABRE,0.669,-0.141
C20orf39,-0.774,0.283
BFSP1,0.454,-0.627
MOBKL1A,0.301,-0.882
LOC389895,-0.244,-0.838
LOC644662,0.136,-0.826
NIPSNAP3A,0.109,-0.913
C20orf54,-0.215,0.111
CLCNKB,0.686,-0.204
NSUN7,0.19,-0.614
NSUN6,-0.282,-0.703
SMOC2,-0.721,0.152
HRH1,0.54,-0.713
HRH3,-0.234,-0.527
HRH2,-0.235,0.682
SMOC1,0.573,-0.096
C20orf74,-0.654,0.47
GPNMB,-0.161,-0.805
VSTM2B,0.143,-0.648
NOX4,-0.689,0.288
VSTM2A,-0.529,0.723
DBC1,-0.563,0.628
LOC644613,-0.439,-0.186
TMEM55A,-0.855,-0.223
VSTM2L,0.757,-0.225
GDF10,-0.009,-0.75
ADAMDEC1,-0.769,0.02
DZIP3,0.105,-0.658
DZIP1,0.129,-0.617
AURKA,-0.82,-0.204
PSENEN,0.612,-0.519
TEX26,0.364,-0.117
GPT2,0.31,-0.843
MATN2,-0.041,-0.506
MATN3,-0.238,0.183
DBNL,0.262,-0.549
RAN,-0.388,-0.673
TMEM200A,0.554,-0.668
PRDM8,0.037,0.805
PRDM5,-0.668,0.408
NPTN,-0.55,0.468
PRDM2,-0.715,0.307
PRDM1,-0.541,0.322
KIF26A,0.229,0.201
KIF26B,0.769,0.325
LALBA,0.598,0.164
OLFM4,0.115,-0.019
OLFM3,0.138,-0.202
FCHO2,-0.73,0.192
OLFM1,-0.521,0.414
GOSR2,0.714,-0.306
KCNJ16,0.861,0.128
PPARA,0.563,-0.432
PPARD,-0.415,0.605
NPNT,-0.324,-0.405
PPARG,-0.138,-0.499
HVCN1,0.208,-0.377
KCNJ12,0.522,0.01
KCNIP2,-0.803,-0.119
KCNJ11,-0.558,0.194
KCNIP1,-0.115,-0.444
ARL2BP,-0.589,0.422
KCNJ14,-0.106,0.419
KCNIP4,-0.668,-0.307
KCNIP3,-0.526,0.449
SLC24A4,-0.34,0.361
SLC24A3,0.335,-0.341
GPX4,0.24,-0.588
SLC24A2,-0.701,0.589
GPX3,-0.211,-0.141
GPX8,-0.527,-0.035
GPX7,-0.636,-0.162
RBBP4,-0.892,-0.049
RBBP8,-0.826,0.031
AMIGO2,0.656,-0.571
RAB11FIP5,-0.689,0.055
RAB11FIP2,-0.573,0.45
NPPC,-0.601,-0.302
RAB11FIP1,0.672,-0.095
NPPA,0.295,-0.662
KIF21A,-0.648,0.306
KIF21B,0.641,-0.663
FAM89A,0.286,-0.407
NPR2,-0.132,0.582
NPR3,-0.674,0.044
TEX15,-0.2,-0.606
FAM88A,-0.742,0.037
SNCAIP,-0.269,0.286
LOC645691,-0.625,-0.267
MYST1,-0.863,-0.212
MS4A7,0.071,-0.737
C2CD2,-0.356,-0.464
C2CD3,-0.101,0.838
MRPS18C,0.055,-0.515
KTELC1,-0.877,-0.232
LARP1BP1,0.023,0.373
AKAP5,0.588,-0.319
AKAP6,-0.699,-0.233
AKAP7,-0.141,0.643
AKAP8,-0.311,-0.45
AKAP1,-0.836,-0.271
FAM86A,-0.144,-0.638
DBX2,0.311,-0.506
NPM2,-0.362,0.448
NPM3,0.679,-0.187
FAM84A,-0.557,-0.19
FAM84B,-0.226,-0.504
PUF60,0.455,-0.382
KIAA0430,-0.84,0.052
FAM83D,-0.787,0.295
EMID1,0.661,-0.596
RANBP2,-0.846,0.235
MKL2,0.541,-0.588
MKL1,-0.342,-0.515
KIAA0427,-0.508,0.358
PALLD,0.419,-0.628
RTTN,-0.349,-0.563
MYT1L,-0.519,0.042
SHCBP1,0.215,-0.665
GPR6,0.25,-0.6
PALMD,0.222,-0.656
TNRC6C,-0.038,0.662
FAM81B,0.211,0.322
FAM81A,-0.62,0.178
OXCT1,0.305,-0.781
PRO2012,-0.39,0.625
KIAA0408,-0.826,0.04
PALM2,0.027,-0.675
SLC39A8,-0.464,0.633
OXCT2,-0.655,0.415
SLC39A7,0.018,0.429
POM121B,-0.515,-0.022
SLC39A6,0.233,-0.66
POM121C,-0.101,0.06
ZNF608,-0.105,-0.506
SLC39A3,0.422,-0.285
TNRC6A,-0.859,0.06
SLC39A2,0.024,0.198
SCAF1,-0.1,-0.466
